,Artist,Art Name,Date,Image Thumbnail,artist,cloud prediction
287,Asher Brown Durand,The old oak,1844,https://stor.artstor.org/stor/02b1f979-fe5d-422b-aa64-1e139c7206c1_size1,durand,Sc
305,Asher Brown Durand,A River Landscape,1858,https://stor.artstor.org/stor/d6a78161-6213-4991-bc30-260ba6604f54_size1,durand,Ac
306,Asher Brown Durand,Forest Stream with Vista,1872,https://stor.artstor.org/stor/f51f64dd-90a2-4b2b-8f81-8058a1b53af6_size1,durand,Cc
311,Asher Brown Durand,Charles Carrol of Carrolton,1835,https://stor.artstor.org/stor/3eb9b205-e370-49f3-8b4c-dcfc291ae2ca_size1,durand,Ac
312,Asher Brown Durand,Charles Carroll of Carrollton,1835,https://stor.artstor.org/stor/9a7106bd-0b92-40ef-a95f-f6f1785ffc7b_size1,durand,Cc
313,Asher Brown Durand,Forest Scene in the Catskills,1855,https://stor.artstor.org/stor/b8ffc9ae-648d-465e-8976-78e8eb6ff488_size1,durand,Sc
318,Asher Brown Durand,James Kent,1834,https://stor.artstor.org/stor/83e982c7-3e00-4987-aa49-8ffb0fb17bb3_size1,durand,Cc
319,Asher Brown Durand,Sarah Eliot Scoville,1830,https://stor.artstor.org/stor/81d30816-8ea0-486d-9a6f-ec055dba00f2_size1,durand,Cc
320,Asher Brown Durand,Trees on a Rocky Hillside,1849,https://stor.artstor.org/stor/20ec6dd7-1d10-480d-9610-bfc2e47b70ac_size1,durand,Ac
321,Asher Brown Durand,Stephen Decatur,1835,https://stor.artstor.org/stor/13ba2a14-eaa4-42ec-b88d-a7de146db6ef_size1,durand,As
322,Asher Brown Durand,Joel Barlow,1835,https://stor.artstor.org/stor/422eb155-2acd-4577-b749-022ccd75cf4a_size1,durand,As
323,Asher Brown Durand,Garrit Furman,1830,https://stor.artstor.org/stor/50bdf2e1-c09b-4d69-929f-f7a80f4d9a8e_size1,durand,Cs
324,Asher Brown Durand,Thomas Hilson as Tyke,1826,https://stor.artstor.org/stor/e4b163d2-0d8c-45d6-8459-8cff40bb1776_size1,durand,Ac
329,Asher Brown Durand,Untitled (Declaration of Independence),1823,https://stor.artstor.org/stor/4411e4b8-695d-464c-9bc3-03044c60d1e8_size1,durand,Sc
332,Asher Brown Durand,"Accounts—""Life School"" (from Sketchbook)",1796,https://stor.artstor.org/stor/6514f50b-4628-4f65-abc6-678e92610a0d_size1,durand,Ns
359,Asher Brown Durand,Landscape with covered wagon,1847,https://stor.artstor.org/stor/6a18ef94-025d-41f7-928b-f42a14c8b2ae_size1,durand,Sc
360,Asher Brown Durand,The Catskills,1859,https://stor.artstor.org/stor/12c9d0e1-663a-4125-be00-19734987e11f_size1,durand,Sc
361,Asher Brown Durand,White Mountains (?),1825,https://stor.artstor.org/stor/68096861-871f-4e54-bf27-28f0f3eff86d_size1,durand,Ns
378,Asher Brown Durand,"Lake George, New York",1860,https://stor.artstor.org/stor/98df4b34-54f2-4eb4-87f8-fadd2cdf7727_size1,durand,Cs
404,Asher Brown Durand,Banknote vignette showing woodsmen felling trees in a snowy forest,1824,https://stor.artstor.org/stor/e0f8af7c-f609-4826-9881-5f35dcf9e485_size1,durand,Ns
418,Asher Brown Durand,Proofs of Bank of New York One Dollar Bill and Two Dollar Bill,1824,https://stor.artstor.org/stor/a546671a-98d0-43f5-853b-4de5c0ef46e2_size1,durand,Ac
419,Asher Brown Durand,Apollo Belvedere,1825,https://stor.artstor.org/stor/52484dde-b50e-4021-9713-f91840a24598_size1,durand,Ac
645,Asher Brown Durand,"Landscape—Scene from ""Thanatopsis",1850,https://stor.artstor.org/stor/18966bdc-3412-41dc-96ce-56f8f63a8674_size1,durand,Ns
646,Asher Brown Durand,Weekhawken,1833,https://stor.artstor.org/stor/e908e736-6846-485e-a3d7-37529c17a8c2_size1,durand,Ns
647,Asher Brown Durand,Dewitt Clinton,1834,https://stor.artstor.org/stor/416c6a00-e8eb-45dc-8ba3-09d7f7550d9a_size1,durand,As
648,Asher Brown Durand,Jonathan Sturges,1840,https://stor.artstor.org/stor/e154e384-3f6f-4ec0-af50-5888b37ec0b2_size1,durand,Ns
671,Asher Brown Durand,Greek Lovers,1825,https://stor.artstor.org/stor/c0d1102b-1f6d-419e-bce5-51016f9737b3_size1,durand,As
672,Asher Brown Durand,Gipseying Party,1830,https://stor.artstor.org/stor/00910506-63db-4b02-b4b4-06a7f78bbf0e_size1,durand,As
673,Asher Brown Durand,The Dying Greek,1830,https://stor.artstor.org/stor/9e0ed777-2b8a-403b-9b7a-5f19d03e5eb4_size1,durand,Ac
678,Asher Brown Durand,David Crockett,1836,https://stor.artstor.org/stor/343f5da6-a4da-4bae-b47e-e0a7fa0a8bf7_size1,durand,Cc
679,Asher Brown Durand,James Henry Hackett,1832,https://stor.artstor.org/stor/59b2ade1-4b08-4569-869c-0207b4c4f0fb_size1,durand,Ac
680,Asher Brown Durand,Atlantic Souvenir (title page),1829,https://stor.artstor.org/stor/05a2eb25-0b8b-4e24-89dd-f4ec12dcabdd_size1,durand,Ac
681,Asher Brown Durand,William Gaston,1834,https://stor.artstor.org/stor/fdce52ce-deed-4b2b-b0e1-82b965b28f3d_size1,durand,Ac
682,Asher Brown Durand,View of New York from New Jersey,1850,https://stor.artstor.org/stor/177e4f78-15b1-4b8b-8821-64175cf095d4_size1,durand,Ns
683,Asher Brown Durand,John Jay,1834,https://stor.artstor.org/stor/f689d4f3-9a74-4c03-aec2-421873d1a007_size1,durand,As
684,Asher Brown Durand,Proof of one side of a New York Merchants Banking Company 100 Dollar Bill,1824,https://stor.artstor.org/stor/a32dd4b7-4ebe-4645-89d5-789d12fb58ce_size1,durand,Ac
685,Asher Brown Durand,Banknote vignette with three putti symbolizing trade and agriculture,1824,https://stor.artstor.org/stor/913490a6-0b13-4d89-b95d-405cd1617fd2_size1,durand,Ac
686,Asher Brown Durand,Banknote vignette with a family in a garden,1824,https://stor.artstor.org/stor/a7738554-5fcf-4a1c-8128-5b81adf3659e_size1,durand,Ns
687,Asher Brown Durand,Banknote vignette showing a zebra,1824,https://stor.artstor.org/stor/54eb1130-a7eb-4084-b6c4-5833ba8ab9af_size1,durand,Ac
688,Asher Brown Durand,Banknote vignette with female figure representing America,1824,https://stor.artstor.org/stor/5dc80414-27ff-4f7f-a2d8-676f3a24da8a_size1,durand,As
689,Asher Brown Durand,Banknote vignette showing three men on a scaffold laying a brick wall,1824,https://stor.artstor.org/stor/6260afa7-6a40-452c-809d-f2b0961dd3f9_size1,durand,Ac
690,Asher Brown Durand,Banknote vignette with female figure representing marine commerce,1824,https://stor.artstor.org/stor/a6b96c55-2b7f-4036-abb3-0d4f7e6861eb_size1,durand,Sc
691,Asher Brown Durand,Banknote vignette with a blacksmith and forge,1824,https://stor.artstor.org/stor/e1c6aa8a-b843-4a7a-b018-5fb756796f77_size1,durand,Cc
692,Asher Brown Durand,Banknote vignette showing two men working in a mine,1824,https://stor.artstor.org/stor/c2e54371-ce90-4681-991a-192d3ac835be_size1,durand,Sc
693,Asher Brown Durand,Banknote vignette with female figures representing Liberty and Justice,1824,https://stor.artstor.org/stor/fc95d6c3-0fa7-4f5a-8377-2f6762b26cdc_size1,durand,Ac
694,Asher Brown Durand,"Dance on the Battery [preliminary study for Dance on the Battery in Presence of Peter Stuyvesant, 1838, oil on canvas, Museum of the City of New York]",1838,https://stor.artstor.org/stor/d269a36d-10aa-400b-a92d-0d6ff607ee20_size1,durand,St
695,Asher Brown Durand,Banknote motif with a girl's head derived from Leonardo da Vinci against a patterned band,1824,https://stor.artstor.org/stor/e79edb0b-a63e-4084-9dc8-138a6b13d520_size1,durand,Ac
696,Asher Brown Durand,Banknote motif: a child's portrait and two patterned ovals surrounded by a floral frame,1824,https://stor.artstor.org/stor/c4194ab4-5fd9-4ed1-9e5a-a8644d0cdc12_size1,durand,Cc
697,Asher Brown Durand,"Banknote vignette with three putti as a shepherd, a farmer, and a sailor",1824,https://stor.artstor.org/stor/6108fba9-ab09-4d4f-95f0-216d89d61bfc_size1,durand,Sc
698,Asher Brown Durand,Banknote motifs: the number 5 and a building topped with a cupola,1824,https://stor.artstor.org/stor/884b2c13-f6f2-4e69-b741-7d286522f241_size1,durand,Ac
699,Asher Brown Durand,Banknote motif: Portrait on George Washington in a decorative panel,1824,https://stor.artstor.org/stor/8841a7a6-1b12-4f1e-8dd7-b466349ce494_size1,durand,Ac
702,Asher Brown Durand,Banknote vignette showing city buildings around a fenced-in green with children playing around an American flag,1824,https://stor.artstor.org/stor/a0bdc80f-e840-426c-8964-1c50edfa0b52_size1,durand,Ac
703,Asher Brown Durand,Banknote motif: a child's portrait surrounded by a floral frame,1824,https://stor.artstor.org/stor/5eef66de-783d-4a67-87bf-d43d191b4d76_size1,durand,Ac
704,Asher Brown Durand,Banknote vignette with haymakers symbolizing rural industry,1824,https://stor.artstor.org/stor/1c2fae3c-36a8-4563-ae49-0b7921f0c0a8_size1,durand,Ac
705,Asher Brown Durand,Banknote vignette with the main street of a town,1824,https://stor.artstor.org/stor/3c7b295f-2820-4af4-bf2a-b1cd43a8b7a4_size1,durand,Ac
706,Asher Brown Durand,"Arched framing element for banknote, with acanthus and vine leaves, lily and grapes",1824,https://stor.artstor.org/stor/5f89bb3c-8901-45de-a0ac-7ed4aebb927e_size1,durand,Ac
707,Asher Brown Durand,"Banknote vignette with figures of different ages, representing the stages of life",1824,https://stor.artstor.org/stor/6a2567bc-e908-4901-a41a-ec704f848ee7_size1,durand,Sc
708,Asher Brown Durand,Banknote motifs: the number 5 and a portrait of Thayendanegea,1824,https://stor.artstor.org/stor/543f032e-957f-4e5c-9a7b-40044a9da042_size1,durand,Ac
734,Asher Brown Durand,The American Wilderness,1864,https://mdxdv.artstor.org/thumb/imgstor/size1/sslps/ucb/20265510.jpg,durand,Cc
735,Asher Brown Durand,God's Judgment upon Gog,1851,https://mdxdv.artstor.org/thumb/imgstor/size1/sslps/ucb/20279699.jpg,durand,Ac
736,Asher Brown Durand,Woodland Glen,1855,https://mdxdv.artstor.org/thumb/imgstor/size1/sslps/ucb/20308729.jpg,durand,As
737,Asher Brown Durand,Landscsape composition (Catskills),1848,https://stor.artstor.org/stor/ed7bfc71-ca8f-4643-abed-1d23f24cef2a_size1,durand,Cs
738,Asher Brown Durand,Progress,1853,https://stor.artstor.org/stor/1a0e03ab-028f-4528-9a87-1f73c3b22f1b_size1,durand,Cc
739,Asher Brown Durand,"Indian Vespers, Last of the Mohicans",1847,https://stor.artstor.org/stor/4d5c61d0-aed1-4572-ae3e-e81a91bfd3dc_size1,durand,Ac
740,Asher Brown Durand,Figure Study (from Sketchbook),1796,https://stor.artstor.org/stor/bb546864-855c-49b2-9fe7-8a6e898264e2_size1,durand,Ns
741,Asher Brown Durand,Thomas Pritchard Rossiter (1818-1871),1840,https://stor.artstor.org/stor/4e7b23e1-4771-48b2-a050-77ed4f84dde3_size1,durand,As
742,Asher Brown Durand,"Hilly Landscape with Trees; from the disassembled ""Kingston Sketchbook""",1838,https://stor.artstor.org/stor/d0907c1b-a598-45b9-b3e6-0e1e4f9507f8_size1,durand,Ns
743,Asher Brown Durand,"Sketch of a Mountain Landscape; from the disassembled ""Kingston Sketchbook""; verso: study of several trees",1838,https://stor.artstor.org/stor/239948e1-96da-4bb7-9e8d-60e3a779fc88_size1,durand,Ns
744,Asher Brown Durand,Back cover of Second European sketchbook with 43 Folios,1841,https://stor.artstor.org/stor/11624980-c128-4478-8514-42cbf0c2855a_size1,durand,Ac
745,Asher Brown Durand,"Back cover of Third European sketchbook with 35 Folios, 2 blank",1841,https://stor.artstor.org/stor/837640f9-72c4-4144-8251-9cdb2c844a27_size1,durand,Ac
746,Asher Brown Durand,"Back cover of Tenth sketchbook with 39 Folios, 2 blank and yellow endpapers",1867,https://stor.artstor.org/stor/aed31226-c617-4f67-8047-6c8fc2ac7088_size1,durand,As
747,Asher Brown Durand,Landscape Scene from Thanatopsis,1850,https://stor.artstor.org/stor/99e6c79f-4351-4059-8122-04ff3c9d82c9_size1,durand,Sc
748,Asher Brown Durand,The Declaration of Independence after John Trumbull: Preparatory Drawing for the Engraving,1820,https://stor.artstor.org/stor/664cae0e-ad48-41b6-ab26-d80ca6ccd327_size1,durand,St
749,Asher Brown Durand,"His Excellency Oliver Wolcott, Governor of the State of Connecticutt",1820,https://stor.artstor.org/stor/cfd00d1a-e08e-41ea-ad80-166cc1ac1b5d_size1,durand,Ac
750,Asher Brown Durand,God&s Judgment Upon Gog,1851,https://stor.artstor.org/stor/ba85cd4e-5bda-49c1-b1ef-149fd30f4d38_size1,durand,Sc
751,Asher Brown Durand,Bash-Bish Falls,1862,https://stor.artstor.org/stor/f2cf17b7-5097-4a95-b852-e5680acc64e1_size1,durand,As
752,Asher Brown Durand,William Cullen Bryant (1794-1878),1858,https://stor.artstor.org/stor/e973092e-f383-498d-af21-c409b945c0d1_size1,durand,Ns
753,Asher Brown Durand,Drapery Study (from Sketchbook),1796,https://stor.artstor.org/stor/7f01b843-9257-49d7-b780-43e46bd27538_size1,durand,Ns
757,Asher Brown Durand,Kaaterskill CloveCatskill Grove,1866,https://stor.artstor.org/stor/ad8eb934-c0b9-4915-8dfd-e6294fc788f8_size1,durand,Ns
761,Albert Bierstadt,"Yosemite Valley, Glacier Point Trail",1873,https://stor.artstor.org/stor/e8be895d-bb98-44fb-a022-5c8200af8ce9_size1,bierstadt,Ns
762,Albert Bierstadt,"Among the Sierra Nevada, California",1868,https://stor.artstor.org/stor/58a7aab8-1f0e-415d-8756-8b8459d81679_size1,bierstadt,Ac
763,Albert Bierstadt,Mountain Brook,1863,https://mdxdv.artstor.org/thumb/imgstor/size1/sslps/c35953/15007524.jpg,bierstadt,As
764,Albert Bierstadt,The Trappers' Camp,1861,https://stor.artstor.org/stor/a64084db-cab3-4e32-a6fa-8238162871cf_size1,bierstadt,Sc
782,Albert Bierstadt,"Yosemite ValleyStarr King Mountain, California",1866,https://stor.artstor.org/stor/d27e0ce1-7778-4bcc-9768-e22b1ea84ab7_size1,bierstadt,Ns
829,Albert Bierstadt,"Mount Adams, Washington",1875,https://stor.artstor.org/stor/0b751f6e-448c-4eaa-9e33-cc2b0e5c917f_size1,bierstadt,St
870,Albert Bierstadt,Donner Lake from the Summit,1873,https://stor.artstor.org/stor/276a7370-0bc5-46f6-82d7-6934303b0dce_size1,bierstadt,Cs
871,Albert Bierstadt,"Geyser, Yellowstone Park",1881,https://stor.artstor.org/stor/b560ac18-72a1-4f56-8470-bddb7a83b74f_size1,bierstadt,Ci
872,Albert Bierstadt,Buffalo Trail: The Impending Storm,1869,https://stor.artstor.org/stor/315d6e82-b9a5-4711-9869-c736b1b63fd9_size1,bierstadt,Ns
898,Albert Bierstadt,Mount Corcoran,1876,https://stor.artstor.org/stor/3ef222d8-665f-4283-bb15-c2c78359ac79_size1,bierstadt,Cc
899,Albert Bierstadt,Indians Hunting Buffalo,1888,https://stor.artstor.org/stor/af81aca4-4b57-4573-8792-0d16918e80da_size1,bierstadt,As
900,Albert Bierstadt,"View of Mount Washington, from Near North Conway, New Hampshire",1860,https://stor.artstor.org/stor/307b2e15-d9e8-4618-8597-c9f9dfdfeddb_size1,bierstadt,Ns
901,Albert Bierstadt,Four Portraits of North American Indians; verso: Sketch of Brave Riding a Horse and Shooting a Bow and Arrow,1859,https://stor.artstor.org/stor/8916767c-5563-4dff-923b-b6f1776a158d_size1,bierstadt,Ac
902,Albert Bierstadt,"Autumn Woods, Oneida County, State of New York",1886,https://stor.artstor.org/stor/96e224f2-e411-429f-9078-a07097457b6d_size1,bierstadt,Sc
903,Albert Bierstadt,Vista from a Tree Platform,1865,https://stor.artstor.org/stor/6e7961f4-5e99-4e58-8bda-cbd0f2fde70d_size1,bierstadt,Ac
904,Albert Bierstadt,Indian Beauty,1863,https://stor.artstor.org/stor/f66b9800-ca07-460a-80a9-ab9d5da00c4d_size1,bierstadt,Ac
925,Albert Bierstadt,"Lake Tahoe, California",1867,https://stor.artstor.org/stor/442f65da-2502-49d8-892b-911907a64c76_size1,bierstadt,Ac
926,Albert Bierstadt,Lake Lucerne,1858,https://stor.artstor.org/stor/52f39a54-368e-4301-bbad-5a943573c15f_size1,bierstadt,Sc
936,Albert Bierstadt,"The Grizzly Giant Sequoia, Mariposa Grove, California",1872,https://stor.artstor.org/stor/8d5c3256-591c-4259-afab-8c6ac62e0a67_size1,bierstadt,Ac
937,Albert Bierstadt,Sail Boats,1877,https://stor.artstor.org/stor/91750b05-c5a1-40e0-a18a-bf808cc600a7_size1,bierstadt,Ns
938,Albert Bierstadt,Banana Trees,1869,https://stor.artstor.org/stor/5e6a72ad-2ec0-4643-800d-ebc1995de2fe_size1,bierstadt,Ac
939,Albert Bierstadt,Niagara from the American Side,1869,https://stor.artstor.org/stor/7b70c614-4b62-45ce-a6ea-b71976c99c6c_size1,bierstadt,Ns
944,Albert Bierstadt,"The Saint Lawrence River from the Citadel, Quebec",1880,https://stor.artstor.org/stor/3ed66f88-6582-4bc6-960f-f35820e6a8c7_size1,bierstadt,Sc
949,Albert Bierstadt,"Echo Lake, Franconia Mountains, New Hampshire",1861,https://stor.artstor.org/stor/9299b31c-9e45-463e-a088-bdc72cd78c42_size1,bierstadt,Ac
958,Albert Bierstadt,"Sunrise, Yosemite Valley",1870,https://stor.artstor.org/stor/16c4d892-1247-424a-be52-75d220ccac91_size1,bierstadt,Cb
968,Albert Bierstadt,"Rocky Mountains, ""Lander's Peak""",1863,https://stor.artstor.org/stor/75872af8-e41a-41c4-b56b-ffeb0df13eba_size1,bierstadt,Ac
969,Albert Bierstadt,"Bridal Veil Falls, Yosemite Valley, California",1871,https://stor.artstor.org/stor/9608741d-5555-4e17-9813-0e1ca42f0dbf_size1,bierstadt,Cs
970,Albert Bierstadt,"View from the Wind River Mountains, Wyoming",1860,https://stor.artstor.org/stor/74c332ce-1093-4be2-b862-4ce4c072580a_size1,bierstadt,Sc
983,Albert Bierstadt,Nooning on the Platte,1859,https://stor.artstor.org/stor/d1035382-1bc4-41d0-b997-45d47c8dfc2e_size1,bierstadt,Sc
1009,Albert Bierstadt,Five Portraits of North American Indians,1859,https://stor.artstor.org/stor/1541930f-5937-4d41-b814-54c91220dc13_size1,bierstadt,Ac
1014,Albert Bierstadt,"The Marina Piccola, Capri",1859,https://stor.artstor.org/stor/c91c2b9f-3326-4287-85d3-4efe2eb94989_size1,bierstadt,Ns
1031,Albert Bierstadt,Interior of a Library,1886,https://stor.artstor.org/stor/c489def5-a5bd-4435-b48b-3300f23fc948_size1,bierstadt,Ns
1032,Albert Bierstadt,Sunrise in the Sierras,1872,https://stor.artstor.org/stor/f017f55d-77ac-4520-8925-812a65845a38_size1,bierstadt,As
1033,Albert Bierstadt,Horse Study for The Last of the Buffalo,1888,https://stor.artstor.org/stor/5964c989-5806-4761-b6f4-3618808b7375_size1,bierstadt,Ac
1034,Albert Bierstadt,Palm Trees with a Domed Church,1880,https://stor.artstor.org/stor/75b925a5-9087-4507-b99b-c28e68f411d1_size1,bierstadt,Ac
1039,Albert Bierstadt,"Seal Rocks, Farallons",1872,https://stor.artstor.org/stor/afeaed9a-e92f-440e-8b38-4c77f3e74086_size1,bierstadt,As
1040,Albert Bierstadt,"Rocky Mountains, Lander's Peak",1866,https://stor.artstor.org/stor/89d9518b-5b9c-49b7-9312-aa3dad1d6250_size1,bierstadt,Ac
1041,Albert Bierstadt,Swiss Mountain Cabin,1872,https://stor.artstor.org/stor/79b769cd-ded5-4a2c-a600-9e5c6fa06f69_size1,bierstadt,Sc
1042,Albert Bierstadt,"Mount Brewer from Kings River Canyon, California",1872,https://stor.artstor.org/stor/09d7e80d-5569-4f9c-841e-72739c23eaf0_size1,bierstadt,Sc
1044,Albert Bierstadt,Fishing Boats at Capri,1857,https://stor.artstor.org/stor/35df39ca-02aa-468c-bf6b-3dbccf437aa6_size1,bierstadt,Ns
1045,Albert Bierstadt,"Piz Bernina, Switzerland",1880,https://stor.artstor.org/stor/3c52b1f3-6810-4de7-8215-169220330f20_size1,bierstadt,Ns
1050,Albert Bierstadt,Evening on the Prairie,1870,https://stor.artstor.org/stor/57104a81-4b79-4776-9d38-11b2653ce1c0_size1,bierstadt,Ac
1051,Albert Bierstadt,Grizzly Bears,1859,https://stor.artstor.org/stor/cf9daeb1-045e-4e15-a603-d7da8932efba_size1,bierstadt,Sc
1052,Albert Bierstadt,Donner Lake From the Summit,1873,https://stor.artstor.org/stor/e019fa21-949b-4738-8fcf-b37ef4f44cfa_size1,bierstadt,Ns
1057,Albert Bierstadt,"Home Of The Rainbow Horse Shoe Fall,Niagara",1869,https://stor.artstor.org/stor/293e6951-4756-4eab-8881-ef5067a54007_size1,bierstadt,Ns
1058,Albert Bierstadt,"Estes Park, Colorado",1869,https://stor.artstor.org/stor/970a4545-2e94-46e0-b042-3d69e5e36860_size1,bierstadt,Cb
1059,Albert Bierstadt,"View of Donner Lake, California",1871,https://stor.artstor.org/stor/7bb1e924-de39-4791-b1a5-6e6420e2b0a6_size1,bierstadt,Ac
1085,Albert Bierstadt,The Overland Trail,1871,https://stor.artstor.org/stor/5b2e0a36-e6de-4f42-ba8a-1d003a127ebf_size1,bierstadt,Ns
1090,Albert Bierstadt,The Matterhorn,1867,https://stor.artstor.org/stor/ac0ae6a0-5057-4cc0-b6a2-269e80510dce_size1,bierstadt,Ac
1105,Albert Bierstadt,Tree Sketch and Landscape (from Sketchbook),1890,https://stor.artstor.org/stor/ba263813-1e3d-4ecd-9cb0-fb357a38774b_size1,bierstadt,Ac
1106,Albert Bierstadt,Sketches of Canoes and a Figure Carrying a Barrel (from Sketchbook),1890,https://stor.artstor.org/stor/ec496698-4636-400c-bc68-2dda7b9080c0_size1,bierstadt,As
1107,Albert Bierstadt,Three Figures (from Sketchbook),1891,https://stor.artstor.org/stor/d15abe14-8d38-485a-9fbd-86049d1a25c6_size1,bierstadt,Ac
1112,Albert Bierstadt,Sketch of a Mountain Landscape (from Sketchbook),1890,https://stor.artstor.org/stor/745d8bdf-1516-48be-9fdf-37b0a33db398_size1,bierstadt,Ns
1113,Albert Bierstadt,Sketches of Armor and Figure (from Sketchbook),1891,https://stor.artstor.org/stor/6305bdb1-4c4d-4f22-a8ae-c7f1d4876474_size1,bierstadt,Cc
1114,Albert Bierstadt,Alaska,1889,https://mdxdv.artstor.org/thumb/imgstor/size1/sslps/c35953/13798477.jpg,bierstadt,Cs
1115,Albert Bierstadt,Blue Mountain and Lake,1857,https://stor.artstor.org/stor/92934ae6-9eae-4fd9-aee4-25b5a6c37c59_size1,bierstadt,Ct
1116,Albert Bierstadt,Puget Sound on the Pacific Coast,1870,https://stor.artstor.org/stor/acfb8171-a83a-4132-bd94-1f9bf1c05dfa_size1,bierstadt,As
1117,Albert Bierstadt,Sunlight and Shadow,1862,https://stor.artstor.org/stor/7b4974e0-6635-4036-a336-2f49807a6925_size1,bierstadt,As
1118,Albert Bierstadt,California Spring,1875,https://stor.artstor.org/stor/558cf506-cd61-4242-a9d1-4138a2089f69_size1,bierstadt,Cb
1128,Albert Bierstadt,Farallon Islands,1872,https://stor.artstor.org/stor/56617832-643b-4ba4-a105-eb22a74a7e03_size1,bierstadt,As
1129,Albert Bierstadt,Ruins of Paestum,1858,https://stor.artstor.org/stor/adaa5f69-d3bb-459c-a9b2-505ad049c5d1_size1,bierstadt,Cs
1130,Albert Bierstadt,Giant Redwood Trees of California,1874,https://stor.artstor.org/stor/8ec1d756-60e9-4eca-977f-c7269b4ff82a_size1,bierstadt,Ac
1131,Albert Bierstadt,California Redwoods,1872,https://stor.artstor.org/stor/05620f22-4257-441b-87bc-b1f8763f1be7_size1,bierstadt,Sc
1132,Albert Bierstadt,Westphalia,1855,https://stor.artstor.org/stor/1c5f223b-fa0b-4fbe-b6d1-3853bbfcea0e_size1,bierstadt,Ns
